STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|QUERY|SCALE_FACTOR|BENCHMARK_PHASE|STREAM|SUCCESSFUL|EXIT_CODE|HAS_RESULT|HDFS_SIZE
1631187620|1631187756|136000|2021/09/09:17:10:20|2021/09/09:17:12:36|0h 2m 16s|q19|1|power_test|0|SUCCESS|0|HAS_RESULT|108695
1631187768|1631187867|99000|2021/09/09:17:12:48|2021/09/09:17:14:27|0h 1m 39s|q20|1|power_test|0|FAILED|127|EMPTY|0
1631187880|1631188079|199000|2021/09/09:17:14:40|2021/09/09:17:17:59|0h 3m 19s|q21|1|power_test|0|SUCCESS|0|HAS_RESULT|2896
1631188092|1631188176|84000|2021/09/09:17:18:12|2021/09/09:17:19:36|0h 1m 24s|q22|1|power_test|0|SUCCESS|0|HAS_RESULT|4612
1631188188|1631188197|9000|2021/09/09:17:19:48|2021/09/09:17:19:57|0h 0m 9s|q23|1|power_test|0|FAILED|64|EMPTY|0
1631188209|1631188362|153000|2021/09/09:17:20:09|2021/09/09:17:22:42|0h 2m 33s|q24|1|power_test|0|SUCCESS|0|HAS_RESULT|17
1631188374|1631188534|160000|2021/09/09:17:22:54|2021/09/09:17:25:34|0h 2m 40s|q25|1|power_test|0|FAILED|127|EMPTY|0
1631188547|1631188611|64000|2021/09/09:17:25:47|2021/09/09:17:26:51|0h 1m 4s|q26|1|power_test|0|FAILED|127|EMPTY|0
1631188624|1631188670|46000|2021/09/09:17:27:04|2021/09/09:17:27:50|0h 0m 46s|q27|1|power_test|0|SUCCESS|0|HAS_RESULT|75324
1631188682|1631188734|52000|2021/09/09:17:28:02|2021/09/09:17:28:54|0h 0m 52s|q28|1|power_test|0|FAILED|127|EMPTY|0
1631188747|1631188850|103000|2021/09/09:17:29:07|2021/09/09:17:30:50|0h 1m 43s|q29|1|power_test|0|SUCCESS|0|HAS_RESULT|341
1631188862|1631188930|68000|2021/09/09:17:31:02|2021/09/09:17:32:10|0h 1m 8s|q30|1|power_test|0|FAILED|32|EMPTY|0
1631188942|1631189006|64000|2021/09/09:17:32:22|2021/09/09:17:33:26|0h 1m 4s|q15|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|28
1631189018|1631189213|195000|2021/09/09:17:33:38|2021/09/09:17:36:53|0h 3m 15s|q21|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|2896
1631189225|1631189295|70000|2021/09/09:17:37:05|2021/09/09:17:38:15|0h 1m 10s|q30|1|throughput_test_1|0|FAILED|32|EMPTY|0
1631189308|1631189363|55000|2021/09/09:17:38:28|2021/09/09:17:39:23|0h 0m 55s|q28|1|throughput_test_1|0|FAILED|127|EMPTY|0
